Date,Open,High,Low,Close,Volume
26-Aug-16,191.97,192.51,191.93,192.50,1128577
25-Aug-16,191.90,192.28,191.90,191.90,1257054
24-Aug-16,191.82,192.18,191.82,191.90,1158322
23-Aug-16,191.80,191.91,191.69,191.82,1325046
22-Aug-16,191.40,191.85,191.40,191.77,712595
19-Aug-16,191.31,191.61,191.25,191.50,889042
18-Aug-16,191.26,191.54,191.22,191.36,633635
17-Aug-16,191.00,191.49,190.95,191.40,933517
16-Aug-16,190.56,191.35,190.45,191.00,1571808
15-Aug-16,191.52,191.67,190.96,191.06,1153322
12-Aug-16,191.86,191.86,191.35,191.61,1639571
11-Aug-16,191.92,192.00,191.76,191.80,900811
10-Aug-16,191.88,192.20,191.75,192.00,910178
9-Aug-16,191.79,192.00,191.75,191.90,1012016
8-Aug-16,192.24,192.33,191.68,191.76,1175821
5-Aug-16,192.25,192.59,192.11,192.15,1461798
4-Aug-16,192.48,192.69,192.01,192.01,1065319
3-Aug-16,192.40,192.76,192.16,192.26,786684
2-Aug-16,193.01,193.01,192.32,192.52,998481
1-Aug-16,192.90,193.16,192.75,193.09,517051
29-Jul-16,192.97,193.15,192.70,192.73,687024
28-Jul-16,192.32,193.38,191.98,193.27,1447896
27-Jul-16,192.13,192.67,192.13,192.30,666037
26-Jul-16,191.60,192.55,191.60,192.55,1138888
25-Jul-16,191.00,192.00,190.86,191.94,3030786
22-Jul-16,189.57,189.98,189.57,189.95,594160
21-Jul-16,189.40,189.79,189.39,189.57,713922
20-Jul-16,189.69,189.95,189.50,189.55,883544
19-Jul-16,189.40,189.89,189.32,189.86,709233
18-Jul-16,189.50,189.71,189.27,189.60,1124888
15-Jul-16,189.32,189.59,189.13,189.57,939570
14-Jul-16,189.90,190.00,189.11,189.31,2220507
13-Jul-16,190.31,190.31,189.70,189.86,2350207
12-Jul-16,190.26,190.36,190.16,190.30,1534470
11-Jul-16,190.40,190.57,190.25,190.27,1573346
8-Jul-16,190.18,190.54,190.14,190.44,1253754
7-Jul-16,190.41,190.55,190.13,190.20,1422048
6-Jul-16,189.96,190.47,189.83,190.45,1586011
5-Jul-16,190.10,190.30,189.77,190.01,1757036
1-Jul-16,189.39,189.79,189.39,189.50,1761894
30-Jun-16,189.65,189.89,189.22,189.25,2556040
29-Jun-16,189.70,189.91,189.50,189.59,2569928
28-Jun-16,189.61,190.02,189.29,189.50,2723472
27-Jun-16,189.75,190.05,189.25,189.44,4407334
24-Jun-16,189.83,190.43,189.52,190.11,5789477
23-Jun-16,190.30,190.57,190.30,190.45,2959934
22-Jun-16,190.76,190.89,190.25,190.32,5325522
21-Jun-16,190.73,191.17,190.73,190.79,2503729
20-Jun-16,191.00,191.15,190.75,190.81,2892826
17-Jun-16,191.30,191.40,190.80,190.80,4020550
16-Jun-16,191.06,191.66,191.00,191.33,3459651
15-Jun-16,191.50,191.77,191.25,191.29,5812349
14-Jun-16,192.28,192.44,191.50,191.63,10900342
13-Jun-16,194.29,194.38,192.16,192.21,26468124
10-Jun-16,135.00,135.36,130.90,131.08,2000874
9-Jun-16,136.26,138.89,135.51,136.52,2780370
8-Jun-16,134.08,134.57,132.76,133.85,936357
7-Jun-16,136.00,136.12,133.52,133.70,986612
6-Jun-16,134.59,135.78,133.50,135.70,1581556
3-Jun-16,135.19,135.72,131.74,135.07,1512513
2-Jun-16,136.73,137.99,134.48,136.50,1225263
1-Jun-16,135.53,137.11,132.76,137.03,1965462
31-May-16,131.50,137.59,131.50,136.50,3205798
27-May-16,129.14,131.46,128.92,131.36,1244925
26-May-16,130.15,131.43,128.39,129.25,1301254
25-May-16,129.00,130.00,128.41,129.87,1625361
24-May-16,125.59,129.30,125.47,128.58,1700904
23-May-16,125.65,127.50,125.05,125.15,1090120
20-May-16,125.75,126.97,123.57,125.56,1758996
19-May-16,127.70,128.29,124.42,125.24,2231555
18-May-16,128.00,130.45,126.87,128.39,1557122
17-May-16,128.12,131.80,128.12,128.92,2895797
16-May-16,127.50,130.47,127.06,128.97,1500182
13-May-16,126.57,129.05,125.94,127.04,1372810
12-May-16,129.09,130.74,125.56,126.90,2133633
11-May-16,128.84,131.14,128.25,128.77,2699698
10-May-16,122.24,128.95,122.18,128.93,3096875
9-May-16,121.04,122.27,119.80,121.60,1747331
6-May-16,122.97,122.97,119.46,121.82,2065879
5-May-16,125.48,126.00,122.67,123.11,1810938
4-May-16,124.19,126.73,123.70,124.54,1572891
3-May-16,127.07,128.00,124.57,124.91,2041701
2-May-16,125.97,129.42,125.02,128.85,3123652
29-Apr-16,129.01,130.99,123.86,125.31,9107033
28-Apr-16,119.72,124.44,119.34,123.01,5428168
27-Apr-16,120.89,121.64,118.10,118.85,2834964
26-Apr-16,121.17,123.92,120.42,122.53,1904789
25-Apr-16,119.23,121.90,118.81,120.48,2138053
22-Apr-16,119.34,121.90,117.90,119.45,1934276
21-Apr-16,117.30,121.96,116.78,120.46,2928267
20-Apr-16,115.75,118.20,115.10,117.32,1153152
19-Apr-16,118.22,118.34,114.36,115.42,1740511
18-Apr-16,115.76,118.49,115.60,118.00,1239827
15-Apr-16,117.55,117.70,115.49,116.61,1538552
14-Apr-16,113.43,118.23,113.06,117.70,3870417
13-Apr-16,110.70,113.88,110.61,113.23,2670321
12-Apr-16,109.58,110.43,108.61,109.69,1520707
11-Apr-16,108.93,110.20,107.25,109.30,1667493
8-Apr-16,112.67,112.67,107.00,108.44,4218982
7-Apr-16,114.25,114.86,112.13,112.43,1682478
6-Apr-16,114.31,115.15,112.46,114.75,1733967
5-Apr-16,114.63,115.63,113.68,113.68,1624071
4-Apr-16,115.34,116.73,115.01,115.31,2801098
1-Apr-16,113.94,115.67,113.36,115.63,1540359
31-Mar-16,113.53,116.57,113.00,114.35,2544988
30-Mar-16,111.50,114.97,110.98,113.83,3213869
29-Mar-16,107.00,110.37,106.00,110.03,3553720
